,spotify_url,preview_url,artists,added_at,album,duration,name,popularity,genre
19,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p,https://p.scdn.co/mp3-preview/91945740a8be002835d2a88f83a5c7edb4f17617?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Molchat Doma""]",2020-10-02T22:22:55Z,1vPytXXwF0VXnof89Z91Pm,141394,Судно (Борис Рижий),79,russian post-punk
20,https://open.spotify.com/track/2T93MtJuKMzcGRTR8fdizV,https://p.scdn.co/mp3-preview/757f71f94b11a870fef83a6457ae58d83de5e00f?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""100 gecs"",""Charli XCX"",""Rico Nasty"",""Kero Kero Bonito""]",2020-09-20T01:13:34Z,0qnExDZfz0kVeBjixPsyjS,214529,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",61,candy pop
21,https://open.spotify.com/track/3IPBftcOHWxzLFyH5svvnY,https://p.scdn.co/mp3-preview/86a5d4a682ac6975b4e4e5b9b9653daf2a95bbc2?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Bren Joy"",""Landon Sears""]",2021-01-08T19:29:11Z,4PMJ1YwlsWRJYCxr1S8LX9,226153,Sweet (feat. Landon Sears),56,chill r&b
22,https://open.spotify.com/track/7lbCt79TgVjgIQkOqxwHgu,https://p.scdn.co/mp3-preview/a70920070ee7eaf82b5f6d834eb2420cdf8e8afb?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Bren Joy""]",2020-12-21T11:24:23Z,4PMJ1YwlsWRJYCxr1S8LX9,193000,Scottie Pippen,38,chill r&b
23,https://open.spotify.com/track/4W8sUeokQKfHt1uTXp0Jq0,https://p.scdn.co/mp3-preview/dab15d26dc92fd8a93588c160f10a0dcdb7d9d35?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Lund""]",2021-01-09T22:58:52Z,2gMpqoJglKD1UJZot6YRZt,200672,Broken,81,sad rap
24,https://open.spotify.com/track/4b3Fy1u0f3FUy0K2dNIqC9,https://p.scdn.co/mp3-preview/b5f155419e05030aae5095f1030a91aa8b4ca1d4?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""shinigami""]",2021-01-11T22:57:04Z,2YVpYyovtmptcKelthI6fH,130612,wallhack freestyle,38,sad rap
25,https://open.spotify.com/track/0gbDakCJz0bS7rahgQVhi3,https://p.scdn.co/mp3-preview/9ed25966c939f6d133fbb88f3d9f710332edab59?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""ilyTOMMY""]",2021-01-11T22:41:28Z,4urrlVFI6alhZmikfFdrTS,143682,Mia Wallace,54,sad rap
26,https://open.spotify.com/track/2E5NGLtMqDmeijWcntP8Ca,https://p.scdn.co/mp3-preview/590eabdf19a09e5ad7f0588a52f6100d495fe35c?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""MORGENSHTERN""]",2020-10-25T06:22:13Z,78zLtyhYwTFsWygI480EdB,126000,ICE (feat. MORGENSHTERN),74,russian hip hop
27,https://open.spotify.com/track/3stWWPN41byqp8loPdy92u,https://p.scdn.co/mp3-preview/3d49ee47dd3e09992e9faa620024f269232d4d35?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Beach House""]",2020-10-19T19:28:35Z,32bJgeIOAFiNkucTCje5O5,199413,Master of None,64,chillwave
28,https://open.spotify.com/track/3ty4jnVIJ9My8ZnXFMc0Fg,https://p.scdn.co/mp3-preview/2b1da871d5887124d039dc093174e33babee6efc?cid=3ba7f3c03c9248a1abc09cbf21398ab7,"[""Kikuo""]",2020-10-19T08:43:59Z,5eSuy3Rr40DI0qcPOMFgX0,252000,愛して 愛して 愛して,73,japanese electropop
